title,imdb_movie_id
Tenet,tt6723592
Mank,tt10618286
Mulan,tt4566758
Ava,tt8784956
Wonder Woman 1984,tt7126948
Godmothered,tt11681250
The Prom,tt10161886
Happiest Season,tt8522006
The Christmas Chronicles: Part Two,tt11057644
Honest Thief,tt1838556
Freaky,tt10919380
Hillbilly Elegy,tt6772802
The Midnight Sky,tt10539608
Greenland,tt7737786
Jingle Jangle: A Christmas Journey,tt7736496
Fatman,tt10310140
We Can Be Heroes,tt10600398
Wander,tt9689696
Holidate,tt9866072
Black Bear,tt9601220
Run,tt8633478
Monster Hunter,tt6475714
Let Them All Talk,tt10808832
Kol,tt10530176
Emma.,tt9214832
Uncle Frank,tt11327514
The 2nd,tt11697484
365 dni,tt10886166
After We Collided,tt10362466
The New Mutants,tt4682266
What Lies Below,tt9264728
Ammonite,tt7983894
Dolittle,tt6673612
Let Him Go,tt9340860
Monsters of Man,tt6456326
The Trial of the Chicago 7,tt1070874
Promising Young Woman,tt9620292
Wild Mountain Thyme,tt6842770
Songbird,tt12592252
I'm Your Woman,tt10243992
The Croods: A New Age,tt2850386
Possessor,tt5918982
The Devil All the Time,tt7395114
Enola Holmes,tt7846844
Unhinged,tt10059518
Archenemy,tt11274100
Safety,tt10649016
The Hunt,tt8244784
The Witches,tt0805647
The Secret: Dare to Dream,tt4411584
Voces,tt11750282
L'incredibile storia dell'Isola delle Rose,tt10287954
Life in a Year,tt6598238
Operation Christmas Drop,tt13236566
Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,tt13143964
The Princess Switch: Switched Again,tt11199410
Hamilton,tt8503618
Superintelligence,tt7178640
Underwater,tt5774060
News of the World,tt6878306
Rebecca,tt2235695
Soul,tt2948372
9 Kere Leyla,tt11792734
I'm Thinking of Ending Things,tt7939766
WolfWalkers,tt5198068
The Invisible Man,tt1051906
Sputnik,tt11905962
Monster Problems,tt2222042
Jiu Jitsu,tt9624766
Palm Springs,tt9484998
Bill & Ted Face the Music,tt1086064
Ludo,tt7212754
The Old Guard,tt7556122
La belva,tt11499506
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,tt7713068
Durgamati: The Myth,tt11229134
Ghosts of War,tt6508228
Ma Rainey's Black Bottom,tt10514222
Christmas on the Square,tt10627548
The Wolf of Snow Hollow,tt11140488
Nomadland,tt9770150
Extraction,tt8936646
Black Beauty,tt8484160
Tudo Bem No Natal Que Vem,tt13354204
Wander Darkly,tt8902978
The Call of the Wild,tt7504726
Bad Boys for Life,tt1502397
Fatale,tt8829830
The Craft: Legacy,tt4685762
Greyhound,tt6048922
Jumanji: Level One,tt13249100
The Very Excellent Mr. Dundee,tt8560172
The SpongeBob Movie: Sponge on the Run,tt4823776
Fantasy Island,tt0983946
The Dark and the Wicked,tt10229558
Over the Moon,tt7488208
Vanguard,tt9695722
Torbaaz,tt7805960
His House,tt8508734
Train to Busan 2,tt8850222
