title,originallink,link,description,pubDate
"1,053명 확진…요양병원·요양시설서 감염 속출",http://www.yonhapnewstv.co.kr/MYH20201219007400641/?did=1825m,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=422&aid=0000462426,"<b>코로나</b>19 신규 확진자가 어제(18일) 하루 1,053명 새로 발생했습니다. 벌써 나흘째 1,000명대인데요.... [기자] <b>코로나</b>19 신규 확진자는 1,053명으로 누적 4만8,570명입니다. 나흘째 1,000명대로 추세가 이어지면 다음주 초엔... ","Sat, 19 Dec 2020 17:08:00 +0900"
"FDA, 아스트라제네카 백신 연내승인 불투명한데 도입?... 에이비프로바이오 S...",http://www.pinpointnews.co.kr/view.php?ud=202012191652258836861beb2d9d_45,http://www.pinpointnews.co.kr/view.php?ud=202012191652258836861beb2d9d_45,&quot;<b>코로나</b>19 백신도입 2~3월에 하겠다.&quot; 정부는 아스트라제네카의 신종 <b>코로나</b>바이러스 감염증(<b>코로나</b>19) 백신 도입을 2~3월에 하겠다는 내용을 회의록 등으로 확인했다고 19일 밝혔다. 정부는 이날 기자단에게... ,"Sat, 19 Dec 2020 17:08:00 +0900"
김병만이 고사한 SBS연예대상 누구에게…어떤 프로있었나,http://www.newsis.com/view/?id=NISX20201219_0001276396&cID=10601&pID=10600,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=003&aid=0010251294,'정글의 법칙'은 ’<b>코로나</b>19'로 인해 잠시 프로그램이 중단됐으나 '국내편' 시즌으로 전환하면서 오히려... 특히 '골목식당'은 본 목적이었던 솔루션 제시 역할을 넘어 '<b>코로나</b>19' 상황에서도 실질적 도움을 톡톡히... ,"Sat, 19 Dec 2020 17:07:00 +0900"
"충북, 전날 신규 확진자 103명…오늘 10명 추가 확진 (상보)",https://view.asiae.co.kr/article/2020121917004962451,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=277&aid=0004813467,"충북 요양병원·교회 등에서 집단 연쇄 감염이 이어지고 있는 가운데, 19일 충북에서 신종 <b>코로나</b>바이러스 감염증(<b>코로나</b>19) 확진자 10명이 추가 발생했다. 충북도 등에 따르면 이날 오전 0시부터 오후 4시까지 청주와... ","Sat, 19 Dec 2020 17:07:00 +0900"
"식약처, 화이자 <b>코로나</b>19 백신 사전검토",http://www.bokuennews.com/news/article.html?no=198651,http://www.bokuennews.com/news/article.html?no=198651,"화이자가 <b>코로나</b>19 백신 허가신청 전 비임상·임상(1상, 2상, 3상) 자료에 대한 사전검토를 신청했다. 지난 10월 6일 비임상 자료에 대한 사전검토를 신청한 아스트라제네카도 이날 <b>코로나</b>19 백신 허가신청 전 품질 자료에... ","Sat, 19 Dec 2020 17:07:00 +0900"
병상 기다리다…부천 요양병원서 확진자 2명 사망,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202012190072&t=NN,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=215&aid=0000923897,<b>코로나</b>19 집단 감염이 발생한 경기 부천 효플러스요양병원에서 병상 배정을 기다리던 확진자 2명이... A씨는 지난 11일 <b>코로나</b>19 양성 판정 후 요양병원에 격리된 상태로 1주일 동안 병상 전원을 기다리다가 끝내... ,"Sat, 19 Dec 2020 17:06:00 +0900"
"권영세 안동시장, '<b>코로나</b>19' 관련 브리핑 가져",http://www.gukjenews.com/news/articleView.html?idxno=2129262,http://www.gukjenews.com/news/articleView.html?idxno=2129262,"권영세 경북 안동시장은 19일 '<b>코로나</b>19' 관련 브리핑을 통해, 지금은 전시상황에 준하는 비상상황이라며 추가확진자 4명에 대해 설명했다. '<b>코로나</b>19' 관련, 브리핑하는 권영세 경북 안동시장.(사진=안동시) 안동... ","Sat, 19 Dec 2020 17:06:00 +0900"
서울서 교회 관련 <b>코로나</b>19 집단감염 이어져,http://www.viva100.com/main/view.php?key=20201219010004823,http://www.viva100.com/main/view.php?key=20201219010004823,"서울서 교회 관련 <b>코로나</b>19 집단감염 이어져 서울에서 신종 <b>코로나</b>바이러스 감염증(<b>코로나</b>19) 집단감염이 끊이지 않고 발생 중이다. 서울시에 따르면 18일 하루 동안성북, 동대문, 강서구 일대에서 교회 관련... ","Sat, 19 Dec 2020 17:06:00 +0900"
부천 요양병원서 병상 배정 기다리던 확진자 2명 사망,http://www.kukinews.com/newsView/kuk202012190078,http://www.kukinews.com/newsView/kuk202012190078,/사진=연합뉴스  신종 <b>코로나</b>바이러스 감염증(<b>코로나</b>19) 집단 감염이 발생한 경기 부천 한 요양병원에서 병상 배정을 기다리던 확진자 2명이 숨지며 누적 사망자가 6명으로 늘었다. 19일 부천시에 따르면 전날 부천시... ,"Sat, 19 Dec 2020 17:06:00 +0900"
[인포그래픽] 인도 <b>코로나</b> 현황(12월 19일 오후),https://www.econovill.com/news/articleView.html?idxno=511087,https://www.econovill.com/news/articleView.html?idxno=511087,성병찬 / 저작권자 ⓒ 이코노믹리뷰(https://www.econovill.com) 무단전재 및 재배포금지,"Sat, 19 Dec 2020 17:06:00 +0900"
경북 영주에서 <b>코로나</b>19 확진자 3명 추가 발생···19일에만 5명 확진,https://www.yeongnam.com/web/view.php?key=20201219010002703,https://www.yeongnam.com/web/view.php?key=20201219010002703,경북 영주시는 19일 오후 4시47분 안전안내문자를 통해 <b>코로나</b>19 확진자가 3명 발생했다고 밝혔다. 경북 영주에서 <b>코로나</b>19 신규 확진자가 19일 하루에만 5명 발생했다.영주시는 이날 오전 9시와 오후 4시 47분... ,"Sat, 19 Dec 2020 17:06:00 +0900"
[천지포토] <b>코로나</b>19 검사 받으러 온 시민,http://www.newscj.com/news/articleView.html?idxno=810688,http://www.newscj.com/news/articleView.html?idxno=810688,신종 <b>코로나</b>바이러스 감염증(<b>코로나</b>19) 신규 확진자가 나흘째 1000명대를 넘어선 가운데 19일 오후 서울 성북구청 앞 임시 선별진료소에서 한 시민이 <b>코로나</b>19 검사를 받기 위해 인적 사항을 적고 있다. 성북구는 전날... ,"Sat, 19 Dec 2020 17:05:00 +0900"
"군포도시공사, 2020 혁신성과 경진대회 개최",http://www.ajunews.com/view/20201219165237127,http://www.ajunews.com/view/20201219165237127,"발표와 심사는 <b>코로나</b>19 사회적 거리두기 및 방역관리 지침을 준수, 온라인 발표 방식으로 진행됐으며... 서비스’와 <b>코로나</b>19로 집합 운동이 어려운 상황 속 가정이나 사무실 등 내부에서 쉽게 따라할 수 있도록... ","Sat, 19 Dec 2020 17:05:00 +0900"
#시청률 #장수 #선한 영향력…2020 SBS 빛낸 예능들,https://www.nocutnews.co.kr/news/5467973,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=079&aid=0003445694,"'정글의 법칙'은 <b>코로나</b>19로 인해 잠시 프로그램이 중단됐으나, '국내 편' 시즌으로 전환해 신선한 재미를... ◇선한 영향력의 품격 '골목식당'×'맛남의 광장' 예상치 못한 '<b>코로나</b>19' 대유행은 영세한 소상공인들과 농... ","Sat, 19 Dec 2020 17:05:00 +0900"
"방대본, 병원·요양시설 집단 감염 10건 중 7건은 '종사자·간병인' 확산",https://www.asiatoday.co.kr/view.php?key=20201219010012243,https://www.asiatoday.co.kr/view.php?key=20201219010012243,최근 의료기관과 요양시설에서 신종 <b>코로나</b>바이러스 감염증(<b>코로나</b>19) 집단감염의 10건 중 7건은 병원 내 종사자나 간병인에 의해 확산된 것으로 나타났다.중앙방역대책본부(방대본)는 19일 정례 브리핑에서 지난달... ,"Sat, 19 Dec 2020 17:05:00 +0900"
[천지포토] <b>코로나</b> 검사 받는 시민들,http://www.newscj.com/news/articleView.html?idxno=810691,http://www.newscj.com/news/articleView.html?idxno=810691,신종 <b>코로나</b>바이러스 감염증(<b>코로나</b>19) 신규 확진자가 나흘째 1000명대를 넘어선 가운데 19일 오후 서울 성북구청 앞 임시 선별진료소에서 시민들이 <b>코로나</b>19 검사를 받고 있다. 성북구는 전날 구청 직원이 확진판정을... ,"Sat, 19 Dec 2020 17:05:00 +0900"
<b>코로나</b>19 당진 확진자 19일 6명 발생... 당진시 공무원도 확진,http://www.idjnews.kr/news/articleView.html?idxno=127601,http://www.idjnews.kr/news/articleView.html?idxno=127601,당진신문 = 지나영 기자 | 19일 당진시가 <b>코로나</b>19 확진자 6명 추가 발생했다고 밝혔다. 당진시에 따르면 #115번 확진자는 당진시공무원으로 지난 17일 증상발현으로 18일 당진보건소 선별진료소에서 검사한 결과 확진됐다.... ,"Sat, 19 Dec 2020 17:04:00 +0900"
가세연 &quot;문재인 아들 전시 끝나는 23일 이후 3단계 격상&quot; 억지,https://www.hankyung.com/politics/article/2020121966017,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=015&aid=0004470061,유튜브 채널 가로세로연구소(가세연) 측이 18일 <b>코로나</b>19가 심각한 상황에서 전시회를 8년만에 연 문재인 대통령의 아들 문준용 씨와 관련해 &quot;3단계가 23일 이후에 될 거라는 말들이 있다&quot;고 운을 뗐다. 가세연 측은 &quot;3단계... ,"Sat, 19 Dec 2020 17:04:00 +0900"
[속보] 거제시청 99~105번째 확진자 발생 알려,http://www.asiaa.co.kr/news/articleView.html?idxno=13364,http://www.asiaa.co.kr/news/articleView.html?idxno=13364,<b>코로나</b>19 자료사진 (사진=뉴스1 제공) 거제시청이 <b>코로나</b>19 99~105번째 확진자 발생을 알렸다. 거제시 99~105번째 확진자는 현재 역학조사가 진행중에 있다. 또한 확진자 중 해외입국자 2명이 포함되어 있다.... ,"Sat, 19 Dec 2020 17:04:00 +0900"
"우리하루, ‘덕분에 챌린지’ 참여 및 기부로 <b>코로나</b>19 극복 기원",http://www.cooknchefnews.com/news/newsview.php?ncode=1065599829010152,http://www.cooknchefnews.com/news/newsview.php?ncode=1065599829010152,헬스케어 브랜드 우리하루가 <b>코로나</b> 19 진료와 확산 방지에 힘쓰고 있는 의료진에게 응원의 메시지를 전하기 위해 ‘덕분에 챌린지’에 참여한다. <b>코로나</b>19 확산 방지를 위해 노력하는 의료진을 응원하고자 시작된 국민... ,"Sat, 19 Dec 2020 17:03:00 +0900"
강릉서 40대 <b>코로나</b>19 확진…의정부 확진자와 접촉,https://www.nocutnews.co.kr/news/5467972,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=079&aid=0003445693,"강원 강릉지역에서 84번째 <b>코로나</b>19 확진자가 발생했다. 19일 강릉 보건당국에 따르면 A(40대)씨가 <b>코로나</b>19 확진 판정을 받았다. A씨는 지난 11일부터 목칼칼함 증상이 있었던 것으로 알려졌으며, 지난 19일 보건소에서... ","Sat, 19 Dec 2020 17:03:00 +0900"
"가정 방문 손님 2명만 허용…이탈리아, 성탄·새해 연휴 전국 봉쇄",https://www.news1.kr/articles/?4155502,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=104&oid=421&aid=0005059662,유럽에서 <b>코로나</b>19가 확산되면서 네덜란드와 독일이 1월까지 봉쇄를 결정한 가운데 이탈리아도... 콘테 총리는 &quot;이것은 쉬운 결정이 아니었다&quot;며 &quot;전문가들은 크리스마스에 <b>코로나</b>19 확진자가 급증할 것을 심각하게... ,"Sat, 19 Dec 2020 17:03:00 +0900"
"&quot;피로와 두통, 마른기침&quot;…마크롱 佛 대통령이 전한 '<b>코로나</b> 분투기'",https://view.asiae.co.kr/article/2020121916532858418,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=104&oid=277&aid=0004813465,"신종 <b>코로나</b>바이러스 감염증(<b>코로나</b>19) 확진 소식이 알려진 에마뉘엘 마크롱 프랑스 대통령이 &quot;피로와 두통, 마른 기침 등의 증세가 있지만 괜찮다&quot;며 근황을 전했다. 18일(현지시간) 마크롱 대통령은 공식 트위터 계정에... ","Sat, 19 Dec 2020 17:03:00 +0900"
김포서 6명 확진…&quot;5명은 감염경로 불명&quot;,http://www.newsis.com/view/?id=NISX20201219_0001276391&cID=10802&pID=14000,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010251292,"경기 김포시는 북변동에 거주하는 A씨와 풍무동에 거주하는 B씨, 월곶면에 거주하는 C씨, 고촌읍에 거주하는 D씨, 구래동에 거주하는 E씨, 사우동에 거주하는 F씨 등 6명이 신종 <b>코로나</b>바이러스 감염증(<b>코로나</b>19)확진... ","Sat, 19 Dec 2020 17:03:00 +0900"
정부 &quot;아스트라제네카 백신 2~3월 도입 맞아···회의록으로 확인&quot;,http://www.sisajournal-e.com/news/articleView.html?idxno=227214,http://www.sisajournal-e.com/news/articleView.html?idxno=227214,영국 옥스퍼드대학과 아스트라제네카가 개발한 <b>코로나</b>19 백신 / 사진=연합뉴스  정부는 영국 아스트라제네카의 신종 <b>코로나</b>바이러스 감염증(<b>코로나</b>19) 백신 구매 계약서에 도입시점이 명시되지 않았다는 지적에 대해... ,"Sat, 19 Dec 2020 17:03:00 +0900"
"2021 호주오픈 여자 예선, 1월 두바이서 개최",https://hankookilbo.com/News/Read/A2020121916570000841?did=NA,https://sports.news.naver.com/news.nhn?oid=469&aid=0000564423,하지만 올해는 신종 <b>코로나</b>바이러스 감염증(<b>코로나</b>19) 대유행을 이유로 한 달 전 다른 지역에서 열리게 됐다. 본선은 2021년 2월8일 호주 멜버른에서 개최된다. 예선을 통과한 선수들은 전세기를 통해 호주 멜버른으로... ,"Sat, 19 Dec 2020 17:02:00 +0900"
당진시 의회사무국 직원 확진...의회 건물 폐쇄,https://www.ytn.co.kr/_ln/0115_202012191702459966,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=052&aid=0001528147,"충남 당진시청 의회사무국 직원이 <b>코로나</b>19 확진 판정을 받았습니다. 이에 따라 당진시는 의회 건물을 폐쇄한 뒤 방역소독을 하고, 시의원 13명과 의회사무국 직원 25명 모두를 대상으로 <b>코로나</b>19 검사를 했습니다.... ","Sat, 19 Dec 2020 17:02:00 +0900"
"동네핫딜 아이폰12 성지 가격인하, 갤럭시 노트20, S20 울트라 10만원대 특판...",http://www.hkbs.co.kr/news/articleView.html?idxno=606862,http://www.hkbs.co.kr/news/articleView.html?idxno=606862,"애플은 지난 10월과 11월 두 차례에 걸쳐 아이폰12 시리즈를 출시했으며, '<b>코로나</b>19'로 인해 출시가 지연되고 공급 난에 직면했음에도 불구하고 연일 완판 행보를 보이는 등 성공적인 신제품 출시를 진행했다. 아이폰12... ","Sat, 19 Dec 2020 17:02:00 +0900"
[데일리안 오늘뉴스 종합] 윤석열 징계위 결정문 살펴보니...입원·전원 대기...,https://www.dailian.co.kr/news/view/948114/?sc=Naver,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=119&aid=0002453700,▲<b>코로나</b>19 신규 확진자 1053명...나흘째 1000명대 넘어 국내 신종 <b>코로나</b>바이러스 감염증(<b>코로나</b>19) 일일 확진자 수가 나흘 연속 1000명대를 기록했다. 중앙방역대책본부는 19일 0시 기준 <b>코로나</b>19 확진자가 1053명으로 늘어... ,"Sat, 19 Dec 2020 17:01:00 +0900"
서울예대 정시모집 '혁신적 간소화'…실기 핵심 위주,https://www.news1.kr/articles/?4155492,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005059660,"서울예술대학교(총장 이남식)는 수험생들의 편의와 <b>코로나</b>19 예방을 위해 내년도 정시모집을 대폭... <b>코로나</b>19의 감염 위험을 최소화 하기 위해 비대면 평가를 시행하며, 동영상은 자유연기와 특기로 구성된 2분 이내의... ","Sat, 19 Dec 2020 17:01:00 +0900"
"일주일째 병상 못찾은 80대 확진자, 결국 사망…87명 대기중",http://news.mk.co.kr/newsRead.php?no=1301868&year=2020,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=009&aid=0004719538,경기 부천 한 요양병원에서 병상 배정을 기다리던 신종 <b>코로나</b>바이러스 감염증(<b>코로나</b>19) 확진자 2명이 숨졌다. 19일 부천시에 따르면 전날 상동 효플러스요양병원에서 코호트(동일집단) 격리 중이던 80대 여성 A씨... ,"Sat, 19 Dec 2020 17:01:00 +0900"
연천군 미산면 辛丑年 소띠해 '희망의 빛' 점등,http://www.kmaeil.com/news/articleView.html?idxno=256851,http://www.kmaeil.com/news/articleView.html?idxno=256851,2020년 <b>코로나</b>19로 지친 한 해를 보내고 2021년 신축년 새해를 맞이하기 위해 16일 미산면행정복지센터 광장에 '희망의 빛' 점등을 하였다고 밝혔다. (사진=연천군) 미산면행정복지센터에서는 2020년 <b>코로나</b>19로 지친 한... ,"Sat, 19 Dec 2020 17:01:00 +0900"
경북 청도에서 <b>코로나</b>19 확진자 2명 발생,https://news.imaeil.com/Society/2020121916585047922,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=088&aid=0000677349,경북 청도에서 19일 <b>코로나</b>19 확진자 2명이 발생했다. 이들 중 1명은 대구확진자로 분류돼 청도군 확진자는... 인한 <b>코로나</b> 검사에서 양성판정을 받았다. 경산시는 청도군에 확진사실을 통보했다. 이에 따라 군 보건소는... ,"Sat, 19 Dec 2020 17:01:00 +0900"
평창 스키장 18명 확진…&quot;공동숙소·환복시 전파 위험&quot;,http://www.fnnews.com/news/202012191651271609,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=014&aid=0004550056,"강원 평창군의 한 스키장에서 총 18명이 <b>코로나</b>19에 감염된 것으로 확인됐다. 방역당국은 스키장 등... 18명이 <b>코로나</b>19에 확진됐다&quot;고 밝혔다. 이어 &quot;확진자는 스키장 강사와 스키용품 대여점 직원, 스키학교 직원, 스키장... ","Sat, 19 Dec 2020 17:00:00 +0900"
"정부, &quot;<b>코로나</b> 중환자 병상확보 확보하라&quot;…민간병원에 행정명령",https://www.sisa-news.com/news/article.html?no=141212,https://www.sisa-news.com/news/article.html?no=141212,&quot;기존 중환자들은 어떻게 하나&quot; 목소리도   정부가 상급종합병원 등 민간병원에 신종 <b>코로나</b>바이러스 감염증(<b>코로나</b>19) 중환자를 치료할 병상을 확보하라는 행정명령을 내렸다. <b>코로나</b>19 '3차 대유행'으로 병상 부족... ,"Sat, 19 Dec 2020 17:00:00 +0900"
올 크리스마스는 아트샵에서 예술가의 특별한 작품을 선물하세요,http://www.dt.co.kr/contents.html?article_no=2020121802109919039019&ref=naver,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=029&aid=0002644073,한국예총이 운영하는 예술전문 온라인 사이트인 '한국예총 아트샵'이 <b>코로나</b>로 몸도 마음도 지쳐가는... <b>코로나</b>19로 인해 몸과 마음이 움츠려드는 요즘이지만 젊은 신진 예술가도 지원하고 좋은 상품도 구입할 수 있는... ,"Sat, 19 Dec 2020 17:00:00 +0900"
[속보] 서울 금천구청 222~228번째 확진자 발생 알려,http://www.asiaa.co.kr/news/articleView.html?idxno=13362,http://www.asiaa.co.kr/news/articleView.html?idxno=13362,<b>코로나</b>19 관련사진 (사진= 뉴스1 제공) 서울 금천구청이 <b>코로나</b>19 222~228번째 확진자 발생을 알렸다. 금천구 222번째 확진자는 독산3동에 거주하며 역학조사가 진행중이다. 금천구 223번째 225번째 확진자는 가산동에... ,"Sat, 19 Dec 2020 17:00:00 +0900"
스키장 <b>코로나</b> 감염 총 18명…방역수칙 철저 당부,http://www.fnnews.com/news/202012191658150504,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=014&aid=0004550055,"강원 평창군 소재 스키장에서 19일 0시 기준 총 18명이 <b>코로나</b>19에 감염된 것으로 나타났다. 방역당국은... 18명이 <b>코로나</b>19에 확진됐다&quot;고 밝혔다. 이어 &quot;확진자는 스키장 강사와 스키용품 대여점 직원, 스키학교 직원... ","Sat, 19 Dec 2020 17:00:00 +0900"
[아통포토] <b>코로나</b>19 취약계층 노숙자들,http://www.anewsa.com/detail.php?number=2308470&thread=01r01,http://www.anewsa.com/detail.php?number=2308470&thread=01r01,"수도권 사회적 거리두기가 2.5단계로 강화된 가운데 19일 오후 서울역에 노숙자들이 마스크를 쓰지 않고 거리에서 활동하고 있어, <b>코로나</b> 집단 감염 우려의 목소리가 나오고 있다. /아시아뉴스통신=황준수 기자... ","Sat, 19 Dec 2020 16:59:00 +0900"
평창 스키장發 18명 집단감염…&quot;공동숙소에서 식사·음주&quot;,http://www.newsis.com/view/?id=NISX20201219_0001276390&cID=14001&pID=14000,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=003&aid=0010251289,강원도 평창 소재 스키장에서 신종 <b>코로나</b>바이러스 감염증(<b>코로나</b>19) 확진자가 18명 발생했다. 19일 중앙방역대책본부(방대본)에 따르면 이날 0시 기준 강원도 평창군 소재 스키장과 관련해 총 18명이 감염됐다. 스키장... ,"Sat, 19 Dec 2020 16:59:00 +0900"
"최도철 홍천의용소방대장, 사랑의 연탄 1500장 기탁",http://www.gukjenews.com/news/articleView.html?idxno=2129261,http://www.gukjenews.com/news/articleView.html?idxno=2129261,"가운데, <b>코로나</b>19와 동절기로 더욱 큰 어려움을 겪고 있을 복지사각지대 어려운 이웃을 위해 봉사단체... 물론 <b>코로나</b>19 예방 방역활동을 지속적으로 전개해왔다. 최도철 대장은 &quot;사랑은 나누면 두배가 되고, 희망은 삶의... ","Sat, 19 Dec 2020 16:59:00 +0900"
[아통포토] '마스크 미착용 노숙자'시민들 '불안',http://www.anewsa.com/detail.php?number=2308466&thread=01r01,http://www.anewsa.com/detail.php?number=2308466&thread=01r01,"수도권 사회적 거리두기가 2.5단계로 강화된 가운데 19일 오후 서울역에 노숙자들이 마스크를 쓰지 않고 거리에서 활동하고 있어, <b>코로나</b> 집단 감염 우려의 목소리가 나오고 있다. /아시아뉴스통신=황준수 기자... ","Sat, 19 Dec 2020 16:59:00 +0900"
"'원클럽맨' 라이언 짐머맨, 2021시즌에는 돌아온다",https://www.mbcsportsplus.com/news/?mode=view&cate=2&b_idx=99789869.000,https://sports.news.naver.com/news.nhn?oid=529&aid=0000050630,짐머맨은 신종 <b>코로나</b>바이러스 감염증(<b>코로나</b>19)에 대한 우려로 지난 6월 시즌 불참을 선언했다. 현역 은퇴설도 돌았지만 짐머맨은 내년 그라운드로 돌아갈 전망이다. 짐머맨은 매체와의 인터뷰에서 &quot;2021시즌에 뛰고... ,"Sat, 19 Dec 2020 16:59:00 +0900"
"政, 상종-국립대병원에 중환자 전담 병상확보 행정명령",http://www.bosa.co.kr/news/articleView.html?idxno=2140523,http://www.bosa.co.kr/news/articleView.html?idxno=2140523,"<b>코로나</b>19 확산에 따른 중환자 치료병상 확보가 시급해진 가운데, 정부는 상급종합병원과 국립대학교병원에 병상확보 행정명령을 내렸다. 중앙사고수습본부는 18일자로 대한병원협회를 통해 전국의 상급종합병원과... ","Sat, 19 Dec 2020 16:59:00 +0900"
"신현영 의원, 의료인력 위험수당 지급 법안 추진",http://www.bosa.co.kr/news/articleView.html?idxno=2140515,http://www.bosa.co.kr/news/articleView.html?idxno=2140515,<b>코로나</b>19 환자 치료를 담당한 의료인력의 위험수당과 그 과정에서 감염된 의료인력에 대한 위로금 등을... 신현영 의원은 “장기화하고 있는 <b>코로나</b>19 시기에 의료진이 안전하게 현장 대응할 수 있는 시스템을 마련하기... ,"Sat, 19 Dec 2020 16:59:00 +0900"
